No,X1 transaction year,X2,X3 Distance MRT station (in meters),X4 Number of convenience stores,Y house price of unit area (NT$/ping),House price (usd/ping),House price (usd/m^2)
1,2012,32,84.87882,10,37.9,12317.5,3732.575758
2,2012,19.5,306.5947,9,42.2,13715,4156.060606
6,2012,7.1,2175.03,3,32.1,10432.5,3161.363636
7,2012,34.5,623.4731,7,40.3,13097.5,3968.939394
14,2012,20.4,2469.645,4,23.8,7735,2343.939394
20,2012,1.5,23.38284,7,47.7,15502.5,4697.727273
27,2012,3.1,383.8624,5,56.2,18265,5534.848485
39,2012,3.1,577.9615,6,47.7,15502.5,4697.727273
50,2012,29.4,4510.359,1,13.2,4290,1300
105,2012,32.7,392.4459,6,30.5,9912.5,3003.787879
115,2012,30.6,143.8383,8,53.3,17322.5,5249.242424
135,2012,33.4,186.9686,6,42.2,13715,4156.060606
140,2012,12.9,492.2313,5,42.5,13812.5,4185.606061
150,2012,34.9,179.4538,8,39.7,12902.5,3909.848485
160,2012,15.5,815.9314,4,37.4,12155,3683.333333
181,2012,26.9,4449.27,0,15.5,5037.5,1526.515152
204,2012,15.6,289.3248,5,46.1,14982.5,4540.151515
254,2012,30.4,1735.595,2,25.9,8417.5,2550.757576
255,2012,1.1,329.9747,5,51.8,16835,5101.515152
257,2012,14.6,339.2289,1,26.5,8612.5,2609.848485
276,2012,1.5,23.38284,7,49.7,16152.5,4894.69697
294,2012,12.6,383.2805,7,42.5,13812.5,4185.606061
325,2012,12.4,1712.632,2,31.3,10172.5,3082.575758
343,2012,5.7,90.45606,9,53.5,17387.5,5268.939394
346,2012,0,185.4296,0,37.9,12317.5,3732.575758
361,2012,32.9,87.30222,10,47.1,15307.5,4638.636364
370,2012,20.2,2185.128,3,22.8,7410,2245.454545
384,2012,29.1,506.1144,4,40.3,13097.5,3968.939394
397,2012,37.1,918.6357,1,31.9,10367.5,3141.666667
404,2012,30.9,161.942,9,39.7,12902.5,3909.848485
406,2012,23,130.9945,6,37.2,12090,3663.636364
411,2012,5.6,90.45606,9,50,16250,4924.242424
18,2012,17.7,350.8515,1,37.4,12155,3683.333333
32,2012,29.6,769.4034,7,25,8125,2462.121212
33,2012,37.9,488.5727,1,34.2,11115,3368.181818
35,2012,15.4,205.367,7,55.1,17907.5,5426.515152
44,2012,34.4,512.7871,6,34.1,11082.5,3358.333333
86,2012,0,338.9679,9,50.8,16510,5003.030303
104,2012,0,208.3905,6,45.7,14852.5,4500.757576
137,2012,11.4,390.5684,5,46.8,15210,4609.090909
147,2012,0,185.4296,0,52.2,16965,5140.909091
148,2012,3.2,489.8821,8,43.2,14040,4254.545455
163,2012,16,4066.587,0,11.6,3770,1142.424242
185,2012,14.1,2615.465,0,21.8,7085,2146.969697
186,2012,31.4,1447.286,3,21.5,6987.5,2117.424242
209,2012,11.5,1360.139,1,26.2,8515,2580.30303
220,2012,29.3,529.7771,8,40.2,13065,3959.090909
236,2012,12.9,250.631,7,39.3,12772.5,3870.454545
273,2012,13,492.2313,5,40.5,13162.5,3988.636364
279,2012,0,208.3905,6,44,14300,4333.333333
297,2012,12.5,1144.436,4,34.1,11082.5,3358.333333
302,2012,38,461.7848,0,35.7,11602.5,3515.909091
318,2012,15.6,752.7669,2,37.5,12187.5,3693.181818
321,2012,13.5,4197.349,0,18.6,6045,1831.818182
334,2012,7.8,104.8101,5,38.4,12480,3781.818182
350,2012,7.8,104.8101,5,47,15275,4628.787879
367,2012,14.2,1801.544,1,24.8,8060,2442.424242
371,2012,15.9,289.3248,5,42.1,13682.5,4146.212121
385,2012,16.1,4066.587,0,12.9,4192.5,1270.454545
5,2012,5,390.5684,5,43.1,14007.5,4244.69697
56,2012,31.7,1160.632,0,13.7,4452.5,1349.242424
70,2012,12.5,561.9845,5,42,13650,4136.363636
78,2012,20.5,2185.128,3,25.6,8320,2521.212121
87,2012,1.8,1455.798,1,27,8775,2659.090909
91,2012,0,274.0144,1,45.4,14755,4471.212121
102,2012,12.7,170.1289,1,32.9,10692.5,3240.151515
106,2012,0,292.9978,6,71,23075,6992.424242
134,2012,18,373.3937,8,39.5,12837.5,3890.151515
165,2012,0,185.4296,0,55.2,17940,5436.363636
177,2012,13.9,4573.779,0,19.2,6240,1890.909091
210,2012,34.8,175.6294,8,40.9,13292.5,4028.030303
232,2012,16.2,4074.736,0,14.7,4777.5,1447.727273
243,2012,2,2077.39,3,33.4,10855,3289.393939
250,2012,18,6306.153,1,15,4875,1477.272727
253,2012,5.9,90.45606,9,52.7,17127.5,5190.151515
266,2012,15.7,815.9314,4,38.1,12382.5,3752.272727
268,2012,34.7,482.7581,5,41.1,13357.5,4047.727273
292,2012,3.4,56.47425,7,54.4,17680,5357.575758
298,2012,34.9,567.0349,4,28.5,9262.5,2806.818182
308,2012,10.3,3079.89,0,24.7,8027.5,2432.575758
329,2012,15.9,1497.713,3,23.6,7670,2324.242424
337,2012,5.1,1867.233,2,35.6,11570,3506.060606
338,2012,31.3,600.8604,5,30.9,10042.5,3043.181818
349,2012,4.6,259.6607,6,53.7,17452.5,5288.636364
352,2012,4,2180.245,3,28.6,9295,2816.666667
353,2012,18.4,2674.961,3,25.7,8352.5,2531.060606
